date,elec1,elec2,elec3,elec4,elec5
2014-07-24,382.6000000000001,483.76,403.09499999999997,709.7800000000001,0.0
2014-07-25,336.8499999999999,528.1600000000001,409.0280000000001,628.42,0.0
2014-07-26,241.90000000000006,338.11999999999995,161.57800000000003,297.80000000000007,0.0
2014-07-27,237.14999999999998,327.32,156.183,293.0199999999999,0.0
2014-07-28,307.04999999999995,550.76,409.58699999999993,703.24,0.0
2014-07-29,297.8499999999999,597.68,394.901,704.5,0.0
2014-07-30,293.3000000000001,490.52,373.73299999999995,723.42,0.0
2014-07-31,310.1,493.42,422.7009999999999,714.3399999999999,0.0
2014-08-01,287.95,487.65999999999985,426.613,646.1600000000002,0.0
2014-08-02,190.70000000000005,344.3200000000001,136.833,311.14000000000004,0.0
2014-08-03,189.04999999999998,343.3200000000001,136.117,275.1600000000001,0.0
2014-08-04,245.39999999999998,536.72,424.60899999999987,600.14,0.0
2014-08-05,215.05,500.94000000000005,415.1930000000001,610.1399999999999,0.0
2014-08-06,227.60000000000002,478.82000000000005,424.73099999999994,630.3599999999999,0.0
2014-08-07,245.00000000000003,483.51999999999987,424.72900000000004,616.0799999999999,0.0
2014-08-08,226.75,503.59999999999997,371.2239999999999,597.1199999999999,0.0
2014-08-09,142.7,315.2,122.51300000000005,293.62000000000006,0.0
2014-08-10,139.09999999999997,314.72,140.77400000000003,292.96,0.0
2014-08-11,206.05,556.12,402.51200000000006,583.0400000000001,0.0
2014-08-12,166.65000000000003,598.5200000000001,429.7360000000001,568.92,0.0
2014-08-13,153.6,507.5800000000001,433.07700000000006,590.58,0.0
2014-08-14,139.34999999999994,504.5,417.5189999999999,605.6200000000001,0.0
2014-08-15,124.95,489.41999999999996,397.797,572.7200000000001,0.0
2014-08-16,82.84999999999998,387.02,122.51199999999997,275.44,0.0
2014-08-17,86.3,326.61999999999995,122.88700000000001,275.62000000000006,0.0
2014-08-18,124.74999999999997,509.67999999999995,428.476,574.8799999999998,0.0
2014-08-19,113.8,556.74,407.03400000000016,584.6999999999999,0.0
2014-08-20,117.94999999999999,524.18,420.0550000000001,576.0199999999999,0.0
2014-08-21,136.25000000000003,521.14,405.158,582.2,0.0
2014-08-22,137.70000000000002,498.8200000000001,375.464,556.68,0.0
2014-08-23,93.9,335.96,195.233,266.62000000000006,0.0
2014-08-24,105.35000000000002,362.54,106.61,231.99999999999997,0.0
2014-08-25,138.35,393.10000000000014,121.81999999999998,282.76,0.0
2014-08-26,128.70000000000002,528.12,420.91899999999987,547.7199999999998,0.0
2014-08-27,118.54999999999998,520.8199999999999,423.982,539.3199999999997,0.0
2014-08-28,134.7,516.44,407.12999999999994,572.76,0.0
2014-08-29,138.45000000000002,526.8199999999998,413.0800000000001,568.7800000000001,0.0
2014-08-30,114.25,409.15999999999985,119.12200000000001,281.91999999999996,0.0
2014-08-31,115.10000000000001,335.74,149.76099999999994,282.29999999999995,0.0
2014-09-01,152.45000000000002,536.02,445.53400000000005,574.08,0.0
2014-09-02,151.74999999999997,523.5600000000001,468.4459999999999,602.0399999999998,0.0
2014-09-03,160.85,541.4399999999999,411.52399999999994,623.9600000000002,0.0
2014-09-04,159.45,526.4,430.49300000000005,573.34,0.0
2014-09-05,156.29999999999998,500.73999999999995,414.75600000000003,553.82,0.0
2014-09-06,85.35,321.4,118.95599999999999,295.08000000000004,0.0
2014-09-07,78.89999999999999,330.06000000000006,147.00999999999996,298.9800000000001,0.0
2014-09-08,149.25,541.52,454.9879999999999,616.54,0.0
2014-09-09,153.10000000000002,541.2400000000002,438.92999999999984,607.58,0.0
2014-09-10,153.30000000000004,544.9599999999999,471.90099999999995,597.0600000000001,0.0
2014-09-11,157.3,558.82,436.65099999999995,564.4,0.0
2014-09-12,162.84999999999997,535.5400000000001,437.4379999999999,580.3199999999998,0.0
2014-09-13,117.44999999999999,375.8000000000001,151.809,272.88,0.0
2014-09-14,112.9,355.74,133.939,242.79999999999998,0.0
2014-09-15,163.25000000000003,549.6,431.63900000000007,582.1199999999999,0.0
2014-09-16,170.75000000000003,581.92,427.98999999999995,574.3199999999999,0.0
2014-09-17,153.00000000000006,554.6999999999999,419.05500000000006,577.7400000000001,0.0
