date,elec1,elec2,elec3
2014-11-03,959.5999999999999,790.4300000000001,0.006
2014-11-04,923.9999999999999,834.5850000000002,0.017
2014-11-05,929.9999999999999,789.4819999999999,0.012000000000000004
2014-11-06,954.5000000000002,839.6270000000001,0.012000000000000004
2014-11-07,927.9,719.984,0.003
2014-11-08,419.5,186.98999999999995,0.0
2014-11-09,457.5000000000001,200.29799999999997,0.001
2014-11-10,932.3,756.3569999999997,0.004
2014-11-11,918.0000000000001,725.0219999999999,0.011
2014-11-12,947.1999999999999,757.661,0.005
2014-11-13,1000.3,743.486,0.007
2014-11-14,928.1999999999999,714.8570000000002,0.006
2014-11-15,508.50000000000017,190.58899999999997,0.001
2014-11-16,488.29999999999995,194.12599999999995,0.003
2014-11-17,918.1999999999999,728.497,0.009000000000000001
2014-11-18,934.6999999999999,751.7110000000002,0.005
2014-11-19,949.5999999999999,721.4649999999999,0.006
2014-11-20,970.8000000000003,745.9420000000001,0.008
2014-11-21,959.7000000000002,759.0819999999999,0.008
2014-11-22,541.1999999999999,196.925,0.003
2014-11-23,491.00000000000006,222.827,0.001
2014-11-24,975.4,926.366,0.005
2014-11-25,1002.7000000000003,834.101,0.009000000000000001
2014-11-26,989.8,767.1019999999997,0.017
2014-11-27,968.0000000000002,751.9430000000001,0.024000000000000007
2014-11-28,952.2,747.344,0.006
2014-11-29,474.79999999999995,217.36499999999995,0.001
2014-11-30,463.6000000000001,219.87400000000002,0.0
2014-12-01,960.5,797.67,0.005
2014-12-02,968.8000000000001,801.2549999999999,0.006
2014-12-03,970.9999999999999,859.828,0.003
2014-12-04,971.8000000000002,852.1329999999998,0.007
2014-12-05,935.2000000000002,936.4939999999998,0.007
2014-12-06,410.4999999999999,471.996,0.006
2014-12-07,428.2,295.70399999999995,0.004
2014-12-08,970.5999999999998,909.0590000000001,0.007
2014-12-09,959.4000000000001,877.3570000000002,0.010000000000000002
2014-12-10,945.7000000000003,787.6410000000001,0.011
2014-12-11,965.3,749.323,0.012
2014-12-12,909.3999999999999,743.478,0.008
2014-12-13,445.20000000000005,433.24000000000007,0.005
2014-12-14,441.50000000000006,322.271,0.0
2014-12-15,963.7999999999998,752.4680000000001,0.014000000000000002
2014-12-16,962.9999999999999,817.443,0.011
2014-12-17,947.0,712.335,0.009000000000000001
2014-12-18,934.4000000000002,739.1229999999997,0.018000000000000002
2014-12-19,886.0000000000001,722.611,0.010000000000000002
2014-12-20,415.79999999999995,233.55300000000005,0.004
2014-12-21,471.79999999999984,226.708,0.0
2014-12-22,881.9999999999999,718.5040000000001,0.008
2014-12-23,819.6,662.749,0.020999999999999998
2014-12-24,751.7,658.1370000000001,0.006
2014-12-25,388.0,354.69599999999997,0.0
2014-12-26,509.40000000000015,738.3409999999997,0.0
2014-12-27,396.7,394.95799999999986,0.003
2014-12-28,423.7000000000001,406.793,0.001
2014-12-29,754.4,791.1110000000001,0.008
2014-12-30,735.8,772.2600000000001,0.002
2014-12-31,713.4999999999998,734.654,0.002
